13107,2017,GEORGIA,Emanuel,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13107,2018,GEORGIA,Emanuel,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13107,2019,GEORGIA,Emanuel,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13107,2020,GEORGIA,Emanuel,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13107,2021,GEORGIA,Emanuel,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13107,2022,GEORGIA,Emanuel,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13109,2016,GEORGIA,Evans,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13109,2017,GEORGIA,Evans,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13109,2018,GEORGIA,Evans,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13109,2019,GEORGIA,Evans,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13109,2020,GEORGIA,Evans,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13109,2021,GEORGIA,Evans,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13109,2022,GEORGIA,Evans,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13111,2016,GEORGIA,Fannin,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13111,2017,GEORGIA,Fannin,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13111,2018,GEORGIA,Fannin,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13111,2019,GEORGIA,Fannin,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13111,2020,GEORGIA,Fannin,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13111,2021,GEORGIA,Fannin,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13111,2022,GEORGIA,Fannin,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13113,2016,GEORGIA,Fayette,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13113,2017,GEORGIA,Fayette,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13113,2018,GEORGIA,Fayette,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13113,2019,GEORGIA,Fayette,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13113,2020,GEORGIA,Fayette,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13113,2021,GEORGIA,Fayette,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13113,2022,GEORGIA,Fayette,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13115,2016,GEORGIA,Floyd,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13115,2017,GEORGIA,Floyd,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13115,2018,GEORGIA,Floyd,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13115,2019,GEORGIA,Floyd,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13115,2020,GEORGIA,Floyd,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13115,2021,GEORGIA,Floyd,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13115,2022,GEORGIA,Floyd,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13117,2016,GEORGIA,Forsyth,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13117,2017,GEORGIA,Forsyth,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13117,2018,GEORGIA,Forsyth,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13117,2019,GEORGIA,Forsyth,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13117,2020,GEORGIA,Forsyth,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13117,2021,GEORGIA,Forsyth,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13117,2022,GEORGIA,Forsyth,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13119,2016,GEORGIA,Franklin,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13119,2017,GEORGIA,Franklin,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13119,2018,GEORGIA,Franklin,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13119,2019,GEORGIA,Franklin,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13119,2020,GEORGIA,Franklin,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13119,2021,GEORGIA,Franklin,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13119,2022,GEORGIA,Franklin,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13121,2016,GEORGIA,Fulton,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13121,2017,GEORGIA,Fulton,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13121,2018,GEORGIA,Fulton,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13121,2019,GEORGIA,Fulton,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13121,2020,GEORGIA,Fulton,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13121,2021,GEORGIA,Fulton,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13121,2022,GEORGIA,Fulton,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13123,2016,GEORGIA,Gilmer,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13123,2017,GEORGIA,Gilmer,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13123,2018,GEORGIA,Gilmer,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13123,2019,GEORGIA,Gilmer,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13123,2020,GEORGIA,Gilmer,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13123,2021,GEORGIA,Gilmer,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13123,2022,GEORGIA,Gilmer,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13125,2016,GEORGIA,Glascock,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13125,2017,GEORGIA,Glascock,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13125,2018,GEORGIA,Glascock,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13125,2019,GEORGIA,Glascock,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13125,2020,GEORGIA,Glascock,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13125,2021,GEORGIA,Glascock,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13125,2022,GEORGIA,Glascock,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13127,2016,GEORGIA,Glynn,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13127,2017,GEORGIA,Glynn,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13127,2018,GEORGIA,Glynn,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13127,2019,GEORGIA,Glynn,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13127,2020,GEORGIA,Glynn,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13127,2021,GEORGIA,Glynn,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13127,2022,GEORGIA,Glynn,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13129,2016,GEORGIA,Gordon,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13129,2017,GEORGIA,Gordon,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13129,2018,GEORGIA,Gordon,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13129,2019,GEORGIA,Gordon,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13129,2020,GEORGIA,Gordon,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13129,2021,GEORGIA,Gordon,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13129,2022,GEORGIA,Gordon,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13131,2016,GEORGIA,Grady,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13131,2017,GEORGIA,Grady,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13131,2018,GEORGIA,Grady,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13131,2019,GEORGIA,Grady,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13131,2020,GEORGIA,Grady,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13131,2021,GEORGIA,Grady,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13131,2022,GEORGIA,Grady,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13133,2016,GEORGIA,Greene,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13133,2017,GEORGIA,Greene,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13133,2018,GEORGIA,Greene,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13133,2019,GEORGIA,Greene,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13133,2020,GEORGIA,Greene,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13133,2021,GEORGIA,Greene,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13133,2022,GEORGIA,Greene,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13135,2016,GEORGIA,Gwinnett,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13135,2017,GEORGIA,Gwinnett,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13135,2018,GEORGIA,Gwinnett,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13135,2019,GEORGIA,Gwinnett,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13135,2020,GEORGIA,Gwinnett,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13135,2021,GEORGIA,Gwinnett,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13135,2022,GEORGIA,Gwinnett,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13137,2016,GEORGIA,Habersham,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13137,2017,GEORGIA,Habersham,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13137,2018,GEORGIA,Habersham,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13137,2019,GEORGIA,Habersham,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13137,2020,GEORGIA,Habersham,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13137,2021,GEORGIA,Habersham,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13137,2022,GEORGIA,Habersham,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13139,2016,GEORGIA,Hall,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13139,2017,GEORGIA,Hall,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13139,2018,GEORGIA,Hall,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13139,2019,GEORGIA,Hall,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13139,2020,GEORGIA,Hall,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13139,2021,GEORGIA,Hall,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13139,2022,GEORGIA,Hall,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13141,2016,GEORGIA,Hancock,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13141,2017,GEORGIA,Hancock,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13141,2018,GEORGIA,Hancock,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13141,2019,GEORGIA,Hancock,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13141,2020,GEORGIA,Hancock,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13141,2021,GEORGIA,Hancock,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13141,2022,GEORGIA,Hancock,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13143,2016,GEORGIA,Haralson,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13143,2017,GEORGIA,Haralson,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13143,2018,GEORGIA,Haralson,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13143,2019,GEORGIA,Haralson,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13143,2020,GEORGIA,Haralson,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13143,2021,GEORGIA,Haralson,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13143,2022,GEORGIA,Haralson,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13145,2016,GEORGIA,Harris,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13145,2017,GEORGIA,Harris,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13145,2018,GEORGIA,Harris,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13145,2019,GEORGIA,Harris,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13145,2020,GEORGIA,Harris,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13145,2021,GEORGIA,Harris,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13145,2022,GEORGIA,Harris,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13147,2016,GEORGIA,Hart,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
13147,2017,GEORGIA,Hart,Georgia Dream Homeownership Program,Down payment assistance,Down payment assistance loan,"Typical assistance $5,000; higher amounts (e.g., $7,500$15,000) for public protectors, educators, and disabled households",3
